"","x"
"1275","20966185"
"1276","21004961"
"1277","20985557"
"1278","21069858"
"1279","20959949"
"1280","21124233"
"1281","21145490"
"1282","20967306"
"1283","21072852"
"1284","20962393"
"1285","20933859"
"1286","21056520"
"1287","21148488"
"1288","20932253"
"1289","20981668"
"1290","21095766"
"1291","20971425"
"1292","20923865"
"1293","21099796"
"1294","21043323"
"1295","21114834"
"1296","21065678"
"1297","20967700"
"1298","20998982"
"1299","21181158"
"1300","20987601"
"1301","21100836"
"1302","21035431"
"1303","21052351"
"1304","21096780"
"1305","20998479"
"1306","20966896"
"1307","21012887"
"1308","21088472"
"1309","21035878"
"1310","20957527"
"1311","20993996"
"1312","20968789"
"1313","20989471"
"1314","21105386"
"1315","21024510"
"1316","20959896"
"1317","21019741"
"1318","21130501"
"1319","20937775"
"1320","20949086"
"1321","21016238"
"1322","21059254"
"1323","20928726"
"1324","21111470"
"1325","20928979"
"1326","21047357"
"1327","21034777"
"1328","20958939"
"1329","21179848"
"1330","21140407"
"1331","21104687"
"1332","21122745"
"1333","21185453"
"1334","20972933"
"1335","20939314"
"1336","14353054"
"1337","20990738"
"1338","20983590"
"1339","20958790"
"1340","20962205"
"1341","21123708"
"1342","21046250"
"1343","21152605"
"1344","20928055"
"1345","21138394"
"1346","21052790"
"1347","21171304"
"1348","21008059"
"1349","21129410"
"1350","20928286"
"1351","21086648"
"1352","21049438"
"1353","20976710"
"1354","21023609"
"1355","20994467"
"1356","21001623"
"1357","21023804"
"1358","21163613"
"1359","21038884"
"1360","20919574"
"1361","20960935"
"1362","20921626"
"1363","21094217"
"1364","21063828"
"1365","21141837"
"1366","20982656"
"1367","21186205"
"1368","21150056"
"1369","20953341"
"1370","21026100"
"1371","20924011"
"1372","21140619"
"1373","20963806"
"1374","20942811"
"1375","21122889"
"1376","20942578"
"1377","21042720"
"1378","21114247"
"1379","21026056"
"1380","20989083"
"1381","21183027"
"1382","21027303"
"1383","21109533"
"1384","21036258"
"1385","21045891"
"1386","21124832"
"1387","20935004"
"1388","21170184"
"1389","20937434"
"1390","21076482"
"1391","21137059"
"1392","21138031"
"1393","21128725"
"1394","20926439"
"1395","20934832"
"1396","21058649"
"1397","21085753"
"1398","21052155"
"1399","20950293"
"1400","20962228"
"1401","21162303"
"1402","21169759"
"1403","21014455"
"1404","21033804"
"1405","21047298"
"1406","20960783"
"1407","20974259"
"1408","21105803"
"1409","21002669"
"1410","21089053"
"1411","21156447"
"1412","21189328"
"1413","21191745"
"1414","21087007"
"1415","21050417"
"1416","20938465"
"1417","21153994"
"1418","21157505"
"1419","20950939"
"1420","21066297"
"1421","21010887"
"1422","21100311"
"1423","21197880"
"1424","21121191"
"1425","21083886"
"1426","21085755"
"1427","21043358"
"1428","21189826"
"1429","21050322"
"1430","21165802"
"1431","2721512"
"1432","20996938"
"1433","21100464"
"1434","21182205"
"1435","21003906"
"1436","21050128"
"1437","21121463"
"1438","20991928"
"1439","21194366"
